Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
4173177,2018-01-03 18:33:58,Episerver Zendesk Help Center,episerver.zendesk.com,[],http,,up,2025-05-05 08:33:26,,216.198.53.6;216.198.54.6,
4273590,2018-02-01 09:58:03,www.gentealtears.com,www.gentealtears.com,[],http,,up,2025-05-05 08:33:25,www.gentealtears.com.cdn.cloudflare.net.,104.19.154.37;104.19.155.37,
4451886,2018-03-19 15:51:40,BerOps - www.broadmail.de,www.broadmail.de,[],http,,up,2025-05-05 08:33:44,,193.169.180.204,
4455048,2018-03-20 10:18:25,BerOps - http - api.broadmail.de,api.broadmail.de,[],http,,up,2025-05-05 08:33:48,,193.169.180.190;193.169.180.191,
4455051,2018-03-20 10:19:24,BerOps - mail.srv2.de,mail.srv2.de,[],smtp,,up,2025-05-05 08:33:37,,193.169.180.64,
4455057,2018-03-20 10:21:50,BerOps - img.srv2.de (http),img.srv2.de,[],http,,up,2025-05-05 08:33:32,,185.210.80.8;193.169.180.144;185.210.80.7;193.169.181.2,
4455069,2018-03-20 10:24:29,BerOps - ftpapi.broadmail.de (ssh),ftpapi.broadmail.de,[],tcp,,up,2025-05-05 08:33:32,,193.169.180.253,
4455087,2018-03-20 10:28:17,optivo - b.ns.optivo.de,b.ns.optivo.de,[],tcp,,paused,2023-01-12 23:02:41,,193.169.181.254,
4486857,2018-03-29 12:15:33,www.alpidus.se,www.alpidus.se,"[""everweb"",""ws54""]",http,,up,2025-05-05 08:33:23,alpidus.se.,217.114.90.154,ns1-05.azure-dns.com.;ns4-05.azure-dns.info.;ns2-05.azure-dns.net.;ns3-05.azure-dns.org.
4531524,2018-04-12 07:58:46,www.sernekebostad.se,www.sernekebostad.se,[],http,1.0,up,2025-05-05 08:33:16,,193.14.90.203,
4531542,2018-04-12 08:04:35,www.kfstockholm.se _ZD 1598173,www.kfstockholm.se,"[""epwsweb102""]",http,1.0,paused,2024-12-19 03:24:51,kfstockholm.se.,91.201.60.53,dns3.oderland.com.;dns1.oderland.com.;dns2.oderland.com.
4531584,2018-04-12 08:17:14,vas.lkab.com,vas.lkab.com,[],http,,up,2025-05-05 08:33:42,,217.114.92.49,
4619973,2018-05-11 14:38:30,ww2.newschool.edu,ww2.newschool.edu,[],http,,up,2025-05-05 08:33:15,ww2.newschool.edu.cdn.cloudflare.net.,172.64.150.249;104.18.37.7,
10552924,2022-01-20 22:42:05,www.canadachemventory.ca,www.canadachemventory.ca,[],http,1.0,up,2025-05-05 08:33:17,canadachemventory.ca.cdn.cloudflare.net.,104.18.38.128;172.64.149.128,
9550122,2021-10-13 19:19:16,www.flinnprep.com,www.flinnprep.com,[],http,1.0,up,2025-05-05 08:33:00,www.flinnprep.com.cdn.cloudflare.net.,104.18.43.245;172.64.144.11,
4684959,2018-06-21 14:46:34,BerOps - srv2.de (https),srv2.de,[],http,,up,2025-05-05 08:33:55,,193.169.180.193,a.ns.optivo.de.;b.ns.optivo.de.
4684963,2018-06-21 14:48:16,BerOps - mail.broadmail.de,mail.broadmail.de,[],smtp,,up,2025-05-05 08:33:26,,193.169.180.188,
4775376,2018-09-20 02:58:55,www.tobiidynavox.com,www.tobiidynavox.com,[],http,1.0,paused,2024-09-02 19:48:15,shops.myshopify.com.,23.227.38.74,
4775871,2018-09-20 11:35:52,api.krisinformation.se,api.krisinformation.se,[],http,1.0,up,2025-05-05 08:33:33,krisinformation.se.edgekey.net.,118.69.16.213;118.69.16.221,
4777291,2018-09-21 11:45:29,www.life-time.se,www.life-time.se,[],http,1.0,up,2025-05-05 08:33:42,life-time.se.,217.114.93.221,b.portsdns.net.;a.portsdns.se.
4779132,2018-09-24 10:17:34,www.us.sogeti.com,www.us.sogeti.com,[],http,1.0,paused,2024-12-11 09:40:52,us.sogeti.com.,192.0.66.24,dns2.p01.nsone.net.;dns1.p01.nsone.net.;dns3.p01.nsone.net.;dns4.p01.nsone.net.
5262549,2019-06-03 15:15:42,www.jakavi-patient.se,www.jakavi-patient.se,[],http,1.0,paused,2025-02-12 05:12:49,www.jakavi-patient.se.cdn.cloudflare.net.,104.18.32.78;172.64.155.178,
5262551,2019-06-03 15:15:51,www.ketonalactive.pl,www.ketonalactive.pl,[],http,1.0,paused,2025-04-21 04:48:42,www.ketonalactive.pl.cdn.cloudflare.net.,172.64.155.189;104.18.32.67,
5511413,2019-10-21 20:06:26,Episerver Litmos,episerver.litmos.com,[],http,1.0,up,2025-05-05 08:33:27,app.litmos.com.,20.120.107.42,
5564712,2019-11-08 13:02:35,rockshop.rockwool.ru,rockshop.rockwool.ru,[],http,1.0,up,2025-05-05 08:33:54,,217.114.85.48,
5564730,2019-11-08 13:05:43,rockshop.rockwool.ee,rockshop.rockwool.ee,[],http,1.0,up,2025-05-05 08:33:32,,217.114.85.48,
5564734,2019-11-08 13:06:54,rockshop.rockwool.hu,rockshop.rockwool.hu,[],http,1.0,up,2025-05-05 08:33:37,,217.114.85.48,
5564735,2019-11-08 13:07:40,rockshop.rockwool.lt,rockshop.rockwool.lt,[],http,1.0,up,2025-05-05 08:33:15,,217.114.85.48,
5564737,2019-11-08 13:08:07,rockshop.rockwool.kz,rockshop.rockwool.kz,[],http,1.0,up,2025-05-05 08:33:51,,217.114.85.48,
5564739,2019-11-08 13:08:32,rockshop.rockwool.by,rockshop.rockwool.by,[],http,1.0,up,2025-05-05 08:33:52,,217.114.85.48,
5564740,2019-11-08 13:08:58,rockshop.rockwool.sk,rockshop.rockwool.sk,[],http,1.0,up,2025-05-05 08:32:59,,217.114.85.48,
5564743,2019-11-08 13:09:41,rockshop.rockwool.cz,rockshop.rockwool.cz,[],http,1.0,up,2025-05-05 08:33:29,,217.114.85.48,
5564753,2019-11-08 13:10:44,rockshop.rockwool.pl,rockshop.rockwool.pl,[],http,1.0,up,2025-05-05 08:33:20,,217.114.85.48,
5564760,2019-11-08 13:14:05,rockshop.rockwool.ua,rockshop.rockwool.ua,[],http,1.0,up,2025-05-05 08:33:25,,217.114.85.48,
